ID,SMILES,pEC50_Clinical_Abnormal Hepatic Function,pEC50_Clinical_Cholecystitis,pEC50_Clinical_Cholelithiasis,pEC50_Clinical_Cholestasis,pEC50_Clinical_Cholestatic Jaundice,pEC50_Clinical_Hepatic Failure,pEC50_Clinical_Hepatic Necrosis,pEC50_Clinical_Hepatic Steatosis,pEC50_Clinical_Hepatitis,pEC50_Clinical_Hepatobiliary disorder,pEC50_Clinical_Hepatocellular injury,pEC50_Clinical_Hepatomegaly,pEC50_Clinical_Hyperbilirrubinemia,pEC50_Clinical_Jaundice,pEC50_Clinical_Liver Injury,pEC50_Pre_Clinical_Filtered Dose Hepatic Steatosis,pEC50_Pre_Clinical_Filtered Doses Hepatic Necrosis,pEC50_Pre_Clinical_Filtered Doses Hepatomegaly,pEC50_Pre_Clinical_Filtered Doses Liver Disorder,pEC50_Pre_Clinical_Filtered Doses liver Injury,pEC50_Pre_Clinical_Filtered Hepatic Necrosis
633,CCOc1ccccc1OCCN[C@H](C)Cc1ccc(OC)c(S(N)(=O)=O)c1,,,,,,,,,,,,,,,,,0.0,-0.0,,,0.0
634,CCC(=O)NC[C@@H]1C[C@H]1c1cccc2c1CCO2,,,,,,,,,,,,,,,,,-2.6989700043360187,-1.6989700043360187,-2.0,,-2.6989700043360187
635,CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](OC(=O)C(C)(CO)CO)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C,,,,,,,,,,,,,,,,,-0.0,,,,-0.0
636,CN(C/C=C/C#CC(C)(C)C)Cc1cccc2ccccc12,,,,,,,,,,,,,,,,,-1.9867717342662448,-1.3010299956639813,-1.8573324964312683,,-1.9867717342662448
637,COc1cc(C(=O)NCc2ccc(OCCN(C)C)cc2)cc(OC)c1OC,,,,,,,,,,,,,,,,,-0.6989700043360189,,-0.6989700043360189,,-0.6989700043360189
638,O=C(O[C@@H]1C[C@@H]2CC[C@H](C1)[N+]21CCCC1)C(O)(c1ccccc1)c1ccccc1,,,,,,,,,,,,,,,,,-2.3010299956639813,,,,-2.3010299956639813
639,O=P(O)(O)C(O)(Cn1ccnc1)P(=O)(O)O,,,,,,,,,,,,,,,,,-0.4771212547196624,-2.0,,,-0.4771212547196624
640,CN(C)CCc1c[nH]c2ccc(C[C@H]3COC(=O)N3)cc12,,,,,,,,,,,,,,,,,-1.3979400086720375,-2.6020599913279625,,,-1.3979400086720375
641,O=C(O[C@H]1C[N+]2(CCCOc3ccccc3)CCC1CC2)C(O)(c1cccs1)c1cccs1,,,,,,,,,,,,,,,,,,-7.623249290397901,-8.146128035678238,,
642,COc1ccc(-c2ccc3cc(C(=O)O)ccc3c2)cc1C12CC3CC(CC(C3)C1)C2,,,,,,,,,,,,,,,,,,-0.6989700043360189,-0.7781512503836436,-0.6989700043360189,
643,CCCC[C@H](NC(=O)[C@H](CO)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CO)NC(C)=O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](Cc1c[nH]cn1)C(=O)N[C@H](Cc1ccccc1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)NCC(=O)N[C@@H](CCCCN)C(=O)N1CCC[C@H]1C(=O)N[C@H](C(N)=O)C(C)C,,,,,,,,,,,,,,,,,,-1.3010299956639813,,,
644,CCC(=O)OCC(=O)[C@@]1(OC(=O)CC)[C@H](C)C[C@H]2[C@H]3[C@H]([C@@H](O)C[C@@]21C)[C@@]1(C)C=CC(=O)C=C1C[C@H]3Cl,,,,,,,,,,,,,,,,,,-0.6989700043360189,-1.3979400086720375,,
645,COc1cc2nc(N(C)CCCNC(=O)C3CCCO3)nc(N)c2cc1OC,,,,,,,,,,,,,,,,,,-2.478566495593844,-2.0,,
646,CC(=O)OCC(=O)[C@@]12OC3(CCCC3)O[C@@H]1C[C@H]1[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]12C,,,,,,,,,,,,,,,,,,-0.4771212547196624,-0.3010299956639812,,
647,NCC(=O)CCC(=O)O,,,,,,,,,,,,,,,,,,-2.0,,,
648,CNC(=O)c1ccc(N2C(=S)N(c3cnc(C#N)c(C(F)(F)F)c3)C(=O)C23CCC3)cc1F,,,,,,,,,,,,,,,,,,-1.6989700043360187,-2.1760912590556813,,
649,CNCC[C@@H](Oc1ccccc1C)c1ccccc1,,,,,,,,,,,,,,,,,,-1.6989700043360187,,,
650,CN(C)CCCOc1nn(Cc2ccccc2)c2ccccc12,,,,,,,,,,,,,,,,,,-1.380211241711606,,,
651,N#Cc1cccc([C@@H](NCC2CC2)c2ccc(F)c(NC(=O)c3cc(C(F)(F)F)nn3-c3cccc(CN)c3)c2)c1,,,,,,,,,,,,,,,,,,-1.8750612633917,,,-1.954242509439325
652,CCC(=O)OCC(=O)[C@@]1(OC(=O)CC)[C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,,,,,,,,,,,,,,,,,,-4.518513939877887,-3.3010299956639813,,
653,CC(C)NCC(O)COc1ccc(CCOCC2CC2)cc1,,,,,,,,,,,,,,,,,,-2.6020599913279625,,,
654,CCN[C@H]1CN(CCCOC)S(=O)(=O)c2sc(S(N)(=O)=O)cc21,,,,,,,,,,,,,,,,,,-2.255272505103306,,,
655,CCC[C@@H]1CC(=O)N([C@@H](CC)C(N)=O)C1,,,,,,,,,,,,,,,,,,-2.6532125137753435,,,
656,Cc1ccc([C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc1Cc1ccc(-c2ccc(F)cc2)s1,,,,,,,,,,,,,,,,,,-1.3010299956639813,,,
657,CCCCCOC(=O)Nc1nc(=O)n([C@@H]2O[C@H](C)[C@@H](O)[C@H]2O)cc1F,,,,,,,,,,,,,,,,,,-0.6989700043360189,,-1.954242509439325,
658,CCCC(C)(COC(N)=O)COC(=O)NC(C)C,,,,,,,,,,,,,,,,,,-3.0,-2.4771212547196626,,
659,O=C([O-])C1=C(CSc2nnnn2CS(=O)(=O)[O-])CS[C@@H]2[C@H](NC(=O)[C@H](O)c3ccccc3)C(=O)N12,,,,,,,,,,,,,,,,,,-2.0,,,
660,CC(=O)N[C@H](Cc1ccc2ccccc2c1)C(=O)N[C@H](Cc1ccc(Cl)cc1)C(=O)N[C@H](Cc1cccnc1)C(=O)N[C@@H](CO)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@H](CCCNC(N)=O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N1CCC[C@H]1C(=O)N[C@H](C)C(N)=O,,,,,,,,,,,,,,,,,,-0.0,,,
661,C[C@@H]1O[C@@]2(CS1)CN1CCC2CC1,,,,,,,,,,,,,,,,,,-1.8750612633917,,,
662,Nc1ccn(C[C@@H](CO)OCP(=O)(O)O)c(=O)n1,,,,,,,,,,,,,,,,,,-0.6989700043360189,,-2.0,
663,O=C1CCc2cc(OCCCCc3nnnn3C3CCCCC3)ccc2N1,,,,,,,,,,,,,,,,,,-1.4771212547196624,,,
664,C[C@@H](NCCCc1cccc(C(F)(F)F)c1)c1cccc2ccccc12,,,,,,,,,,,,,,,,,,-2.6989700043360187,,,-1.0
665,CCOC(=O)C(C)(C)Oc1ccc(Cl)cc1,,,,,,,,,,,,,,,,,,-1.414973347970818,-0.4771212547196624,,-1.3222192947339193
666,Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1,,,,,,,,,,,,,,,,,,-1.4771212547196624,,,
667,NC(=O)C(c1ccccc1)(c1ccccc1)[C@@H]1CCN(CCc2ccc3c(c2)CCO3)C1,,,,,,,,,,,,,,,,,,-1.4771212547196624,-1.0,-2.0,
668,CC1(C)O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,,,,,,,,,,,,,,,,,,-3.7781512503836434,,-3.3010299956639813,
669,Cc1cccc([C@H](C)c2c[nH]cn2)c1C,,,,,,,,,,,,,,,,,,-7.698970004336019,,,
670,CC/C(=C(/CC)c1ccc(O)cc1)c1ccc(O)cc1,,,,,,,,,,,,,,,,,,-0.6989700043360189,-0.3010299956639812,,
671,CCCCCCCCCCCCCCCCCCCCCCO,,,,,,,,,,,,,,,,,,-2.3010299956639813,,,
672,C=C1/C(=C\C=C2/CCC[C@@]3(C)[C@H]2CC[C@@H]3[C@H](C)/C=C/[C@H](C)C(C)C)C[C@@H](O)C[C@@H]1O,,,,,,,,,,,,,,,,,,-6.698970004336019,,-7.740362689494244,
673,COc1cccc(-c2c(C)n(Cc3c(F)cccc3C(F)(F)F)c(=O)n(C[C@H](NCCCC(=O)[O-])c3ccccc3)c2=O)c1F,,,,,,,,,,,,,,,,,,-2.1760912590556813,-2.4771212547196626,,
674,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@@H](O)[C@H](C)O1,,,,,,,,,,,,,,,,,,0.0,,-0.0,
675,CN[C@]1(c2ccccc2Cl)CCCCC1=O,,,,,,,,,,,,,,,,,,-2.204119982655925,,,
676,Clc1ccc2c(c1)C(c1ccccc1)=NCc1nncn1-2,,,,,,,,,,,,,,,,,,-2.3010299956639813,-0.4771212547196624,,-0.7781512503836436
677,COc1cc([C@@H]2c3cc4c(cc3[C@@H](O[C@@H]3O[C@@H]5CO[C@@H](C)O[C@H]5[C@H](O)[C@H]3O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1O,,,,,,,,,,,,,,,,,,-0.9030899869919436,-0.7781512503836436,,-1.6989700043360187
678,CC(C)(C)NC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4NC(=O)C=C[C@]4(C)[C@H]3CC[C@]12C,,,,,,,,,,,,,,,,,,-1.3010299956639813,-1.3010299956639813,,
679,Cn1cc(S(C)=O)c(=O)c2ccc(F)cc21,,,,,,,,,,,,,,,,,,-0.6989700043360189,,,
